"","folio","Edo","VERSION","INCIO","B","C","p1","p2a","p2b","p2c","P4","P5","p6","p7","P8","P9","P10A","P10B","P10C","P10D","P10E","P11","P12A","P12B","P12C","P12D","P12E","P12F","P12G","P12H","P12I","P12J","P12K","P12L","P12M","P12N","P12O","P12P","P12Q","P13A","P13B","P13C","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","p26","P27","P28","P29A","P29B","P29C","P29D","P29E","P29F","P29G","P30","P31","P32","P33","P34","P35A","P35B","P35D","P35E","P36","P37","P38A","P38B","P38C","P38D","P38E","P39A","P39B","P39C","P39D","P40","P41A","P41B","P41C","P42","P43","P44","P45","P46A","P46B","P46C","P46D","P46E","P46F","P46G","P47","boleta1","boleta2","FINAL","DIA","escol_x","gedad","cruce","ponde_rake","cve_unica_sec","circ","ClaveEntidad","Entidad","ClaveMun","Municipio","DistritoFederal","SECCION","Tipo1","FE_Final_","p1_recodificada","p19_recodificada"
"324",324,"Distrito Federal","Versión B",955,"Hombre","66","Seguridad / Inseguridad","Inseguridad pública","Aumento de precios/Inflación","Pobreza","Aprueba totalmente","Que permanezca","Mal gobierno / Gobierno","Ns/Nc","La pobreza y desigualdad","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Poca","Mucha","Poca","Poca","Mucha","Poca","Poca","Ns/Nc","Mucha","Mucha","Mucha","Poca","Ns/Nc","Poca","Mucha","Ns/Nc","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Es inútil","No","Cuatro","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Igual","Disminuirá","No","No","No","No","No","No","No","Los ciudadanos","Bien","Está siendo exitoso","Sí","Mayores","Algo","Poco","Mucho","Poco","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Poca","Mucha","Algo","Poca","En desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","Bien","Castigar","Castigar","Castigar","PRD","Otro","Primaria","Jubilado o pensionado","No","Sí","No","No","No","No","No","$2,601 -  $6,000","MORENA","MORENA",1015,1,"Hasta primaria","50-+",13,1.01311182301472,1093322,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3322,"Urbano",62645.8802083063,"Inseguridad",4
"325",325,"Distrito Federal","Versión A",1054,"Mujer","47","Seguridad / Inseguridad","Inseguridad pública","Pobreza","Economía","Aprueba totalmente","Que permanezca","Abuso de poder","No hay castigo","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","Entre los ciudadanos","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Algo","Algo","Mucha","Ns/Nc","Honesto","Honesto","Ns/Nc","Sólo algunas veces/Casi nunca","La mayoría de las veces","Poco frecuente","Sirve","No","Dos","No",NA,NA,"No aplica","No",NA,"No sabía en dónde hacerlo","Ns/Nc","Disminuirá","Sí","No","No","Sí","No","No","No","El Gobierno","Bien","Está siendo exitoso","Sí","Mayores","Poco","Nada","Algo","Poco","Programas sociales","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Algo","Algo","Algo","Algo","Algo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Ninguno","PRI","Preparatoria o bachillerato","Ama de casa","Sí","Sí","No","Sí","No","Sí","Sí","Hasta $2,600","Candidato Independiente","PVEM",1113,1,"Preparatoria o equivalente","30-49",22,0.752089928525343,1093322,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3322,"Urbano",46505.5628588671,"Inseguridad",2
"326",326,"Distrito Federal","Versión B",1029,"Mujer","39","Seguridad / Inseguridad","Inseguridad pública","Aumento de precios/Inflación","Mal gobierno","Aprueba totalmente","Que permanezca","Todos formamos parte / todos nosotros/ en todos lados","Coraje/Molestia / Enojo","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Poca","Mucha","Algo","Mucha","Mucha","Mucha","Algo","Mucha","Poca","Algo","Mucha","Algo","Algo","Poca","Algo","Mucha","Poca","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","No","Cuatro","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Igual","Disminuirá","No","No","No","No","No","No","No","Los ciudadanos","Bien","Está siendo exitoso","Sí","Mayores","Algo","Poco","Mucho","Algo","Economía","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Algo","Algo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PRI","Preparatoria o bachillerato","Ama de casa","Sí","Sí","No","No","No","No","Sí","$2,601 -  $6,000","MORENA","MORENA",1042,1,"Preparatoria o equivalente","30-49",22,0.752089928525343,1093322,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3322,"Urbano",46505.5628588671,"Inseguridad",4
"327",327,"Distrito Federal","Versión A",951,"Mujer","68","Seguridad / Inseguridad","Inseguridad pública","Aumento de precios/Inflación","Corrupción","Aprueba algo","Que renuncie","Inseguridad","Corrupción","La cultura y educación","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Algo","Mucha","Mucha","Honesto","Corrupto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Es inútil","No","Dos","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Aumentado","Aumentará","No","No","No","No","No","No","No","Los ciudadanos","Muy mal","Está siendo exitoso","No","Mayores","Algo","Mucho","Mucho","Mucho","Educación","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","Mal","Castigar","Castigar","Castigar","Ninguno","Ninguno","Universidad terminada","Ama de casa","No","Sí","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","$6,001 -  $10,000","Ninguno","Ninguno",1008,1,"Universidad o más","50-+",23,1.61343874825806,1093322,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3322,"Urbano",99767.1611866539,"Inseguridad",2
"328",328,"Distrito Federal","Versión B",1039,"Hombre","41","Corrupción","Inseguridad pública","Corrupción","Inseguridad pública","Aprueba totalmente","Que permanezca","Impunidad","Corrupción","La cultura y educación","No se justifica","No","No","No","No","No","Entre los ciudadanos","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Ns/Nc","Honesto","Honesto","Corrupto","Nunca","Nunca","Frecuentemente","Sirve","Sí","Dos","No",NA,NA,"No aplica","No",NA,"Por miedo a represalias","Igual","Disminuirá","Sí","No","Sí","No","Sí","Sí","Sí","El Gobierno","Bien","Está siendo exitoso","Sí","Mayores","Mucho","Mucho","Mucho","Mucho","Salud","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Algo","Algo","Algo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","PRI","PAN","Preparatoria o bachillerato","Trabajador por cuenta propia","Sí","No","Sí","No","Sí","Sí","Sí","Hasta $2,600","MORENA","MORENA",1116,1,"Preparatoria o equivalente","30-49",12,0.73757636124298,1093322,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3322,"Urbano",45608.1148410752,"Corrupción",2
"329",329,"Distrito Federal","Versión A",1129,"Hombre","29","Desempleo","Corrupción","Desempleo","Pobreza","Aprueba totalmente","Que permanezca","Desempleo","Mal gobierno / Gobierno","La pobreza y desigualdad","No se justifica","No","No","No","Sí","Sí","Entre los ciudadanos","Poca","Ns/Nc","Poca","Nada","Ns/Nc","Mucha","Mucha","Poca","Ns/Nc","Mucha","Mucha","Mucha","Mucha","Poca","Mucha","Mucha","Poca","Honesto","Corrupto","Honesto","Sólo algunas veces/Casi nunca","La mayoría de las veces","Rara vez","Sirve","Sí","Ninguna","No",NA,NA,"No aplica","No",NA,"No sabía en dónde hacerlo","Disminuido","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Bien","Está siendo exitoso","Sí","Mayores","Mucho","Poco","Mucho","Poco","Educación","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Poca","Mucha","Poca","Mucha","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Bien","Perdonar","Castigar","Castigar","PAN","Morena","Secundaria","Trabajador por cuenta propia","Sí","Sí","Sí","Sí","No","No","No","Hasta $2,600","PAN","PVEM",1144,1,"Secundaria","18-29",11,0.837221857629189,1093322,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3322,"Urbano",51769.704991442,"Desempleo",0
"330",330,"Distrito Federal","Versión B",1137,"Hombre","26","Delincuencia","Inseguridad pública","Aumento de precios/Inflación","Corrupción","Aprueba totalmente","Que permanezca","Todos formamos parte / todos nosotros/ en todos lados","Combatir la impunidad","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Mucha","Poca","Mucha","Mucha","Mucha","Mucha","Poca","Poca","Mucha","Poca","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","Sí","Dos","Sí","6","600","Sí","No",NA,"Falta de tiempo","Aumentado","Disminuirá","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Los ciudadanos","Bien","Está siendo exitoso","Sí","Mayores","Mucho","Mucho","Mucho","Mucho","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Poca","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PRI","Preparatoria o bachillerato sin terminar","Trabajador por cuenta propia","Sí","Sí","Sí","Sí","No","Sí","Sí","$10,001 -  $16,000","MORENA","MORENA",1150,1,"Secundaria","18-29",11,0.837221857629189,1093322,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3322,"Urbano",51769.704991442,"Inseguridad",2
"331",331,"Distrito Federal","Versión A",1304,"Mujer","70","Seguridad / Inseguridad","Inseguridad pública","Pobreza","Mal gobierno","Aprueba totalmente","Ns/Nc","PEMEX","Policias","La impunidad o falta de castigo","No se justifica","No","No","No","Sí","No","En el Gobierno y sector público","Poca","Mucha","Mucha","Poca","Mucha","Mucha","Mucha","Poca","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Ns/Nc","Corrupto","Corrupto","Ns/Nc","Nunca","Nunca","Muy frecuentemente","Es inútil","Sí","Tres","No",NA,NA,"No aplica","Sí","No",NA,"Aumentado","Aumentará","No","No","No","No","Sí","No","No","Los ciudadanos","Muy mal","Está fracasando","Sí","Mayores","Algo","Mucho","Mucho","Mucho","Impartición de justicia","Las personas son honestas y no necesitan ser vigiladas","Nada","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Bien","Castigar","Castigar","Castigar","Morena","Ninguno","Preparatoria o bachillerato","Ama de casa","Sí","Sí","No","No","No","No","No","$2,601 -  $6,000","Leyendas en la boleta","PRI",1356,1,"Preparatoria o equivalente","50-+",23,0.798872463352781,1093524,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3524,"Urbano",49398.3660085921,"Inseguridad",3
"332",332,"Distrito Federal","Versión B",1412,"Mujer","33","Seguridad / Inseguridad","Inseguridad pública","Economía","Corrupción","Aprueba totalmente","Que permanezca","Políticos","Ministerio Publico","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","Entre los ciudadanos","Algo","Mucha","Mucha","Poca","Mucha","Mucha","Algo","Algo","Poca","Mucha","Mucha","Mucha","Mucha","Poca","Mucha","Mucha","Poca","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","No","Una","No",NA,NA,"No aplica","Sí","No",NA,"Aumentado","Disminuirá","No","No","No","No","Sí","No","Sí","Los ciudadanos","Muy bien","Está siendo exitoso","No","Mayores","Poco","Poco","Mucho","Poco","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Poca","Poca","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PRI","Preparatoria o bachillerato","Ama de casa","Sí","Sí","Sí","Sí","No","Sí","Sí","$10,001 -  $16,000","MORENA","MORENA",1425,1,"Preparatoria o equivalente","30-49",22,0.752089928525343,1093524,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3524,"Urbano",46505.5628588671,"Inseguridad",1
"333",333,"Distrito Federal","Versión A",1343,"Hombre","53","Seguridad / Inseguridad","Inseguridad pública","Ns/Nc ","Ns/Nc ","Aprueba algo","Que permanezca","Tranza","Ns/Nc","La cultura y educación","No se justifica","No","No","No","No","No","Entre los ciudadanos","Mucha","Mucha","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Nada","Algo","Algo","Mucha","Mucha","Algo","Algo","Mucha","Corrupto","Corrupto","Honesto","La mayoría de las veces","Sólo algunas veces/Casi nunca","Poco frecuente","Sirve","No","Ninguna","No",NA,NA,"No aplica","No",NA,"Por miedo a represalias","Aumentado","Aumentará","Sí","No","No","No","No","Sí","Sí","El Gobierno","Bien","Está siendo exitoso","Sí","Menores","Algo","Poco","Mucho","Mucho","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Algo","Nada","Algo","Mucha","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Mal","Castigar","Castigar","Castigar","Morena","PRI","Secundaria sin terminar","Trabajador por cuenta propia","Sí","Sí","Sí","Sí","No","Sí","Sí","$2,601 -  $6,000","Candidato Independiente","PVEM",1358,1,"Hasta primaria","50-+",13,1.01311182301472,1093524,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3524,"Urbano",62645.8802083063,"Inseguridad",0
"334",334,"Distrito Federal","Versión B",1333,"Mujer","46","Vandalismo / Pandillerismo / Cholos / Vagos","Pobreza","Inseguridad pública","Corrupción","Aprueba algo","Que permanezca","Mal gobierno / Gobierno","Ns/Nc","La pobreza y desigualdad","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Honesto","Honesto","Ns/Nc","Nunca","Nunca","Muy frecuentemente","Es inútil","No","Una","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Aumentado","Disminuirá","No","No","No","No","No","No","No","Los ciudadanos","Bien","Ns/Nc","No","Mayores","Algo","Nada","Poco","Poco","Servicios públicos","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Algo","Mucha","Algo","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PAN","Secundaria","Trabajador en sector privado","Sí","Sí","Sí","Sí","No","Sí","Sí","$2,601 -  $6,000","MORENA","PVEM",1344,1,"Secundaria","30-49",22,0.760722874693201,1093524,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3524,"Urbano",47039.3820278776,"Inseguridad",1
"335",335,"Distrito Federal","Versión A",1351,"Hombre","21","Seguridad / Inseguridad","Mal gobierno","Pobreza","Economía","Aprueba algo","Que permanezca","Robo","Ns/Nc","La pobreza y desigualdad","No se justifica","No","Sí","No","No","No","En el Gobierno y sector público","Nada","Algo","Mucha","Algo","Algo","Mucha","Poca","Poca","Poca","Algo","Mucha","Algo","Algo","Poca","Mucha","Mucha","Algo","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Es inútil","No","Dos","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Aumentado","Disminuirá","No","No","No","No","No","No","Sí","El Gobierno","Bien","Está siendo exitoso","Sí","Mayores","Poco","Poco","Algo","Poco","Economía","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Poca","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","PRI","PRD","Secundaria","Trabajador por cuenta propia","No","No","No","No","No","Sí","No","$2,601 -  $6,000","PRI","PRI",1405,1,"Secundaria","18-29",11,0.837221857629189,1093524,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3524,"Urbano",51769.704991442,"Inseguridad",2
"336",336,"Distrito Federal","Versión B",1305,"Hombre","47","Corrupción","Aumento de precios/Inflación","Desempleo","Inseguridad pública","Aprueba totalmente","Que permanezca","PRI","PRI","La cultura y educación","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Ns/Nc","Poca","Mucha","Mucha","Algo","Mucha","Mucha","Mucha","Algo","Ns/Nc","Ns/Nc","Ns/Nc","Algo","Algo","Mucha","Mucha","Ns/Nc","Honesto","Honesto","Corrupto","Sólo algunas veces/Casi nunca","Siempre","Rara vez","Sirve","No","Ninguna","No",NA,NA,"Ns/Nc","No",NA,"No sirve denunciar","Disminuido","Disminuirá","Sí","No","Sí","No","Sí","No","No","Ambas / Los dos","Muy bien","Está siendo exitoso","Sí","Mayores","Algo","Nada","Mucho","Algo","Educación","Las personas son honestas y no necesitan ser vigiladas","Mucha","Algo","Nada","Mucha","Mucha","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PRI","Preparatoria o bachillerato sin terminar","Trabajador por cuenta propia","Sí","Sí","No","Sí","No","Sí","Sí","Ns/Nc","MORENA","MORENA",1324,1,"Secundaria","30-49",12,0.746042711847861,1093524,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3524,"Urbano",46131.6325552567,"Corrupción",0
"337",337,"Distrito Federal","Versión A",1302,"Mujer","36","Delincuencia","Inseguridad pública","Corrupción","Mal gobierno","Aprueba totalmente","Que permanezca","Robo","Ns/Nc","La impunidad o falta de castigo","No se justifica","No","No","No","Sí","No","En el Gobierno y sector público","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Algo","Algo","Algo","Algo","Honesto","Honesto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","Sí","Dos","No",NA,NA,"No aplica","No",NA,"Por miedo a represalias","Aumentado","Disminuirá","Sí","No","No","No","No","No","Sí","Los ciudadanos","Bien","Está siendo exitoso","No","Mayores","Algo","Algo","Mucho","Algo","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Algo","Algo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PAN","Preparatoria o bachillerato","Trabajador en sector privado","Sí","Sí","Sí","Sí","Sí","Sí","Sí","$2,601 -  $6,000","MORENA","MORENA",1320,1,"Preparatoria o equivalente","30-49",22,0.752089928525343,1093524,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3524,"Urbano",46505.5628588671,"Inseguridad",2
"338",338,"Distrito Federal","Versión B",1326,"Hombre","67","Seguridad / Inseguridad","Corrupción","Inseguridad pública","Desempleo","Aprueba totalmente","Que permanezca","Mal gobierno / Gobierno","Corrupción","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Poca","Mucha","Mucha","Mucha","Mucha","Poca","Mucha","Mucha","Ns/Nc","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Sirve","Sí","Tres","No",NA,NA,"No aplica","No",NA,"Por miedo a represalias","Aumentado","Disminuirá","No","No","No","No","No","No","No","Ambas / Los dos","Muy bien","Está siendo exitoso","Sí","Mayores","Mucho","Mucho","Mucho","Mucho","Economía","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Mucha","Mucha","Ns/Nc","De acuerdo","De acuerdo","De acuerdo","Ns/Nc","Castigar","Castigar","Castigar","Morena","PRI","Universidad sin terminar","Desempleado","Sí","Sí","Sí","Sí","No","No","Sí","$16,001 -  $ 20,000","MORENA","MORENA",1344,1,"Preparatoria o equivalente","50-+",13,0.59552196841326,1093524,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3524,"Urbano",36824.1659480564,"Inseguridad",3
"339",339,"Distrito Federal","Versión A",1407,"Hombre","43","Corrupción","Mal gobierno","Pobreza","Corrupción","Aprueba totalmente","Que permanezca","Otra respuesta","Salinas de Gortarí","La impunidad o falta de castigo","No se justifica","Sí","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Ns/Nc","Mucha","Mucha","Mucha","Mucha","Ns/Nc","Mucha","Mucha","Ns/Nc","Honesto","Honesto","Corrupto","Sólo algunas veces/Casi nunca","Nunca","Muy frecuentemente","Sirve","Sí","Tres","No",NA,NA,"Sí","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Muy bien","Está siendo exitoso","Sí","Mayores","Mucho","Nada","Algo","Algo","Otro","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Nada","Mucha","Algo","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy bien","Castigar","Castigar","Castigar","Morena","Ninguno","Universidad terminada","Trabajador en sector privado","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Ns/Nc","MORENA","MORENA",1432,1,"Universidad o más","30-49",12,1.48964238426014,1093524,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3524,"Urbano",92112.1995002332,"Corrupción",3
"340",340,"Distrito Federal","Versión B",1420,"Mujer","29","Crimen Organizado","Inseguridad pública","Corrupción","Desempleo","Aprueba algo","Que permanezca","Reclusorios","Mal gobierno / Gobierno","La impunidad o falta de castigo","Sí se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Algo","Mucha","Algo","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Corrupto","Ns/Nc","Ns/Nc","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","No","Dos","Sí","2","50","No","No",NA,"Por miedo a represalias","Aumentado","Disminuirá","No","No","No","No","No","No","No","Los ciudadanos","Bien","Ns/Nc","Ns/Nc","Mayores","Algo","Poco","Algo","Algo","Impartición de justicia","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Ns/Nc","Castigar","Castigar","Castigar","PRI","PAN","Universidad terminada","Trabajador en sector privado","Sí","No","Sí","Sí","No","Sí","Sí","$2,601 -  $6,000","Leyendas en la boleta","Ns/Nc",1425,1,"Universidad o más","18-29",21,1.81604643463001,1093524,4,9,"Distrito Federal   ",10,"ALVARO OBREGON                                   ",16,3524,"Urbano",112295.429598299,"Inseguridad",2
"341",341,"Distrito Federal","Versión A",1255,"Mujer","31","Corrupción","Mal gobierno","Aumento de precios/Inflación","Inseguridad pública","Ns/Nc","Que permanezca","Mal gobierno / Gobierno","Mal gobierno / Gobierno","La cultura y educación","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Poca","Mucha","Algo","Ns/Nc","Honesto","Ns/Nc","Sólo algunas veces/Casi nunca","Nunca","Muy frecuentemente","Es inútil","Sí","Dos","No",NA,NA,"Sí","No",NA,"No sirve denunciar","Aumentado","Disminuirá","No","No","No","No","Sí","No","No","Ambas / Los dos","Bien","Ns/Nc","No","Mayores","Mucho","Mucho","Mucho","Poco","Seguridad pública","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Poca","Poca","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Ninguno","Ninguno","Universidad terminada","Trabajador en sector privado","Sí","Sí","Sí","Sí","No","Sí","Sí","$2,601 -  $6,000","Ns/Nc","Ns/Nc",1305,2,"Universidad o más","30-49",22,1.51895463734562,1094858,4,9,"Distrito Federal   ",15,"CUAUHTEMOC                                       ",12,4858,"Urbano",93924.7258706827,"Corrupción",2
"342",342,"Distrito Federal","Versión B",1316,"Hombre","30","Ns / Nc","Desempleo","Inseguridad pública","Aumento de precios/Inflación","Aprueba algo","Que permanezca","Necesidad","Prepotencia","La pobreza y desigualdad","Sí se justifica","Sí","Sí","Sí","Sí","Sí","En el Gobierno y sector público","Algo","Poca","Mucha","Mucha","Poca","Mucha","Algo","Mucha","Poca","Algo","Algo","Mucha","Mucha","Algo","Mucha","Mucha","Nada","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Poco frecuente","Es inútil","No","Una","No",NA,NA,"Sí","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","No","No","No","Otro","Bien","Está siendo exitoso","No","Menores","Nada","Nada","Nada","Nada","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Nada","Nada","Mucha","Nada","Nada","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Bien","Perdonar","Perdonar","Perdonar","Morena","PAN","Universidad terminada","Trabajador en sector privado","Sí","Sí","Sí","Sí","No","Sí","Sí","$2,601 -  $6,000","PRI","PRI",1330,2,"Universidad o más","30-49",12,1.48964238426014,1094858,4,9,"Distrito Federal   ",15,"CUAUHTEMOC                                       ",12,4858,"Urbano",92112.1995002332,"Ns/Nc",1
"343",343,"Distrito Federal","Versión A",1243,"Hombre","67","Educación / Becas","Corrupción","Pobreza","Inseguridad pública","Aprueba algo","Que renuncie","Políticos","Políticos","La cultura y educación","No se justifica","No","No","No","No","No","Entre los ciudadanos","Poca","Mucha","Mucha","Algo","Mucha","Mucha","Algo","Mucha","Poca","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","No","Dos","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Aumentado","Igual","No","No","No","No","No","No","No","Los ciudadanos","Bien","Ns/Nc","No","Mayores","Mucho","Mucho","Mucho","Mucho","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Nada","De acuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Ns/Nc","Castigar","Castigar","PAN","PRD","Universidad terminada","Jubilado o pensionado","Sí","Sí","Sí","Sí","No","Sí","Sí","$16,001 -  $ 20,000","PAN","PAN",1256,2,"Universidad o más","50-+",13,1.20274294503072,1094858,4,9,"Distrito Federal   ",15,"CUAUHTEMOC                                       ",12,4858,"Urbano",74371.7413459553,"Problemas Sociales",2
